"","WRB","count"
"Aridic Regosol Hiposodic","Aridic Regosol Hiposodic",3
"Aridic Solonchak","Aridic Solonchak",1
"Aridic Vertisol Hiposalic","Aridic Vertisol Hiposalic",1
"Aridic,Calcari Cambisol Chromic","Aridic,Calcari Cambisol Chromic",1
"Aridic,Calcaric Regosol","Aridic,Calcaric Regosol",1
"Aridic,Hypoluvic Arenosol","Aridic,Hypoluvic Arenosol",1
"Aridic,Rubic,Ferrali,Protic,Ferralic Arenosol Eutric,Aridic,Rubic,Eutric","Aridic,Rubic,Ferrali,Protic,Ferralic Arenosol Eutric,Aridic,Rubic,Eutric",1
"Aridic,Rubic,Ferrali,Protic,Ferralic Arenosol Eutric,Aridic,Rubic,Protic","Aridic,Rubic,Ferrali,Protic,Ferralic Arenosol Eutric,Aridic,Rubic,Protic",1
"Brunic Arenosol","Brunic Arenosol",2
"Brunic,Dystric Arenosol Dystric","Brunic,Dystric Arenosol Dystric",1
"Brunic,Ferralic Arenosol","Brunic,Ferralic Arenosol",1
"Brunic,Ferralic,Hypereutri,Ferralic Arenosol Hypereutric","Brunic,Ferralic,Hypereutri,Ferralic Arenosol Hypereutric",1
"Calcaric Arenosol","Calcaric Arenosol",6
"Calcaric Arenosol Aridic","Calcaric Arenosol Aridic",14
"Calcaric Arenosol Hiposodic","Calcaric Arenosol Hiposodic",3
"Calcaric Cambisol","Calcaric Cambisol",22
"Calcaric Cambisol Arenic","Calcaric Cambisol Arenic",1
"Calcaric Cambisol Aridic","Calcaric Cambisol Aridic",17
"Calcaric Cambisol Cromic","Calcaric Cambisol Cromic",1
"Calcaric Cambisol Endoesqueletic","Calcaric Cambisol Endoesqueletic",3
"Calcaric Cambisol Epiesqueletic","Calcaric Cambisol Epiesqueletic",1
"Calcaric Cambisol Esqueletic","Calcaric Cambisol Esqueletic",1
"Calcaric Cambisol Hiposodic","Calcaric Cambisol Hiposodic",4
"Calcaric Cambisol Siltic","Calcaric Cambisol Siltic",2
"Calcaric Fluvisol","Calcaric Fluvisol",9
"Calcaric Fluvisol Aridic","Calcaric Fluvisol Aridic",1
"Calcaric Fluvisol Endosodic","Calcaric Fluvisol Endosodic",1
"Calcaric Fluvisol Epiesqueletic","Calcaric Fluvisol Epiesqueletic",1
"Calcaric Fluvisol Esqueletic","Calcaric Fluvisol Esqueletic",4
"Calcaric Fluvisol Hiperesqueletic","Calcaric Fluvisol Hiperesqueletic",1
"Calcaric Fluvisol Hiposodic","Calcaric Fluvisol Hiposodic",4
"Calcaric Gleysol","Calcaric Gleysol",1
