"","WRB","count"
"Luvic,Stagnic,Albi Luvisol Albic,Sodic,Hyposodic,Profondic","Luvic,Stagnic,Albi Luvisol Albic,Sodic,Hyposodic,Profondic",1
"Luvic,Stagnic,Hyposodi Luvisol Hypereutric,Clayic,Chromic,Chromic,Cutanic","Luvic,Stagnic,Hyposodi Luvisol Hypereutric,Clayic,Chromic,Chromic,Cutanic",1
"Luvisol","Luvisol",2384
"Magnesic,Haplic Solonetz Abruptic,Magnesic","Magnesic,Haplic Solonetz Abruptic,Magnesic",1
"Magnesic,Stagni Solonetz Albic","Magnesic,Stagni Solonetz Albic",1
"Magnesic,Stagni Solonetz Albic,Humic","Magnesic,Stagni Solonetz Albic,Humic",1
"Magnesic,Stagnic,Stagni Solonetz Albic,Abruptic,Albic,Magnesic","Magnesic,Stagnic,Stagni Solonetz Albic,Abruptic,Albic,Magnesic",1
"Manganiferric Luvisol","Manganiferric Luvisol",1
"Manganiferric,Skeletic Lixisol","Manganiferric,Skeletic Lixisol",1
"Mazic Vertisol Calcaric,Eutric","Mazic Vertisol Calcaric,Eutric",3
"Mazic Vertisol Eutric","Mazic Vertisol Eutric",5
"Mazic Vertisol Hipereutric","Mazic Vertisol Hipereutric",1
"Mazic Vertisol Pelic","Mazic Vertisol Pelic",1
"Mazic,Mazic,Chromi Vertisol Calcaric,Hyposodic,Hyposodic,Chromic","Mazic,Mazic,Chromi Vertisol Calcaric,Hyposodic,Hyposodic,Chromic",1
"Melanic Andosol Dystric","Melanic Andosol Dystric",1
"Melanic Andosol Dystric,Siltic","Melanic Andosol Dystric,Siltic",1
"Melanic Andosol Eutric,Clayic","Melanic Andosol Eutric,Clayic",1
"Melanic Andosol Eutric,Siltic","Melanic Andosol Eutric,Siltic",2
"Melanic Andosol Umbric","Melanic Andosol Umbric",1
"Melanic,Umbric Andosol Dystric","Melanic,Umbric Andosol Dystric",1
"Mesotrofic Vertisol Hiposodic","Mesotrofic Vertisol Hiposodic",1
"Mesotrofic Vertisol Mazic","Mesotrofic Vertisol Mazic",1
"Molic Andosol Hiposodic","Molic Andosol Hiposodic",1
"Molic Andosol Luvic","Molic Andosol Luvic",1
"Molic Fluvisol","Molic Fluvisol",2
"Molic Fluvisol Calcaric","Molic Fluvisol Calcaric",1
"Molic Fluvisol Esqueletic","Molic Fluvisol Esqueletic",2
"Molic Fluvisol Hiposodic","Molic Fluvisol Hiposodic",1
"Molic Fluvisol Humic","Molic Fluvisol Humic",2
"Molic Gleysol","Molic Gleysol",3
"Molic Gleysol Humic","Molic Gleysol Humic",4
"Molic Gleysol Siltic","Molic Gleysol Siltic",1
"Molic Gleysol Stagnic","Molic Gleysol Stagnic",1
"Molic Leptosol","Molic Leptosol",30
"Molic Leptosol Calcaric","Molic Leptosol Calcaric",7
"Molic Leptosol Hiposodic","Molic Leptosol Hiposodic",1
"Molic Leptosol Humic","Molic Leptosol Humic",16
"Molic Nitisol Cromic","Molic Nitisol Cromic",2
"Molic Nitisol Rodic","Molic Nitisol Rodic",3
"Molic Planosol Luvic","Molic Planosol Luvic",1
"Molic Solonetz Alcalic","Molic Solonetz Alcalic",1
"Molic Solonetz Humic","Molic Solonetz Humic",1
"Molihumic Gleysol","Molihumic Gleysol",1
"Molihumic Gleysol Calcaric","Molihumic Gleysol Calcaric",1
"Molihumic Leptosol","Molihumic Leptosol",5
"Molihumic Leptosol Calcaric","Molihumic Leptosol Calcaric",1
"Molihumic Leptosol Esqueletic","Molihumic Leptosol Esqueletic",1
"Molihumic Leptosol Gipsiric","Molihumic Leptosol Gipsiric",1
"Mollic Andosol","Mollic Andosol",13
"Mollic Andosol Eutric,Clayic","Mollic Andosol Eutric,Clayic",2
"Mollic Ferralsol","Mollic Ferralsol",2
"Mollic Ferralsol Clayic","Mollic Ferralsol Clayic",1
"Mollic Fluvisol","Mollic Fluvisol",3
"Mollic Gleysol","Mollic Gleysol",3
"Mollic Gleysol Humic","Mollic Gleysol Humic",1
"Mollic Gleysol Humic,Eutric,Clayic","Mollic Gleysol Humic,Eutric,Clayic",1
"Mollic Leptosol","Mollic Leptosol",4
"Mollic Nitisol","Mollic Nitisol",9
"Mollic Phaeozem","Mollic Phaeozem",1
"Mollic Solonetz","Mollic Solonetz",1
"Mollic,Acric Ferralsol","Mollic,Acric Ferralsol",1
"Mollic,Calcic Gleysol Eutric","Mollic,Calcic Gleysol Eutric",1
"Mollic,Endogleyic Fluvisol","Mollic,Endogleyic Fluvisol",1
"Mollic,Ferralic,Humi,Mollic,Lixic Nitisol Hypereutric,Rhodic,Rhodic,Ferralic","Mollic,Ferralic,Humi,Mollic,Lixic Nitisol Hypereutric,Rhodic,Rhodic,Ferralic",1
"Mollic,Gleyic Fluvisol","Mollic,Gleyic Fluvisol",5
"Mollic,Gleyic Solonetz","Mollic,Gleyic Solonetz",1
"Mollic,Leptic Cambisol","Mollic,Leptic Cambisol",1
"Mollic,Lixic Ferralsol","Mollic,Lixic Ferralsol",2
"Mollic,Mesotrophic Vertisol Calcaric,Humic,Mesotrophic","Mollic,Mesotrophic Vertisol Calcaric,Humic,Mesotrophic",1
"Mollic,Mollic,Calcari Fluvisol Calcaric,Siltic","Mollic,Mollic,Calcari Fluvisol Calcaric,Siltic",1
"Mollic,Mollic,Tephri Gleysol Tephric,Eutric,Eutric","Mollic,Mollic,Tephri Gleysol Tephric,Eutric,Eutric",1
"Mollic,Mollihumic,Rhodi Ferralsol Humic,Eutric,Clayic","Mollic,Mollihumic,Rhodi Ferralsol Humic,Eutric,Clayic",1
"Mollic,Rendzic,Calcari Cambisol Clayic","Mollic,Rendzic,Calcari Cambisol Clayic",1
"Mollic,Sodic Planosol","Mollic,Sodic Planosol",1
"Mollic,Vitric,Mollic,Dystri,Umbric Cambisol","Mollic,Vitric,Mollic,Dystri,Umbric Cambisol",1
"Mollihumic,Haplic,Calcari Regosol Calcaric,Chromic","Mollihumic,Haplic,Calcari Regosol Calcaric,Chromic",1
"Nitic Alisol","Nitic Alisol",1
"Nitic Luvisol","Nitic Luvisol",1
"Nitic,Rhodic Luvisol","Nitic,Rhodic Luvisol",1
"Nitisol","Nitisol",266
"Ombric,Sapric Histosol Dystric","Ombric,Sapric Histosol Dystric",1
"Orthicalcic,calcic horizon Solonetz","Orthicalcic,calcic horizon Solonetz",1
"Orthicalcic,Cutani Luvisol","Orthicalcic,Cutani Luvisol",1
"Orthicalcic,Hapli Kastanozem","Orthicalcic,Hapli Kastanozem",1
"Orthithionic,Humi Gleysol Alumic,Epieutric","Orthithionic,Humi Gleysol Alumic,Epieutric",1
"Orticalcic Chernozem Luvic","Orticalcic Chernozem Luvic",1
"Orticalcic Kastanozem Hiposodic","Orticalcic Kastanozem Hiposodic",1
"Orticalcic Kastanozem Luvic","Orticalcic Kastanozem Luvic",1
"Orticalcic Vertisol Humic","Orticalcic Vertisol Humic",1
"Ortidistric Cambisol Cromic","Ortidistric Cambisol Cromic",1
"Ortsteinic,Albic,Endogleyic Podzol","Ortsteinic,Albic,Endogleyic Podzol",1
"Pachic Phaeozem","Pachic Phaeozem",2
"Pachic,Haplic Phaeozem Pachic","Pachic,Haplic Phaeozem Pachic",1
"Pachic,Luvic Phaeozem","Pachic,Luvic Phaeozem",2
"Pachic,Vermic,Calcari Phaeozem Calcaric,Pachic,Vermic","Pachic,Vermic,Calcari Phaeozem Calcaric,Pachic,Vermic",1
"Paquic Chernozem","Paquic Chernozem",1
"Paquic Phaeozem","Paquic Phaeozem",3
"Paquic Phaeozem Calcaric","Paquic Phaeozem Calcaric",3
"Paquic Phaeozem Endoesqueletic","Paquic Phaeozem Endoesqueletic",1
"Paquic Phaeozem Esqueletic","Paquic Phaeozem Esqueletic",2
"Paraleptic Cambisol","Paraleptic Cambisol",1
"Paraleptic Phaeozem","Paraleptic Phaeozem",1
"Paraleptic Regosol","Paraleptic Regosol",1
"Paraleptic Regosol Eutric,Skeletic","Paraleptic Regosol Eutric,Skeletic",1
"Paraleptic Umbrisol","Paraleptic Umbrisol",1
"Paraleptic,Cutanic Luvisol","Paraleptic,Cutanic Luvisol",1
"Paralitic Leptosol Calcaric","Paralitic Leptosol Calcaric",1
"Paralitic Leptosol Esqueletic","Paralitic Leptosol Esqueletic",1
"Paralitic Leptosol Eutric","Paralitic Leptosol Eutric",2
"Paralitic Leptosol Humic","Paralitic Leptosol Humic",1
"Paraplinthic Acrisol","Paraplinthic Acrisol",10
"Paraplinthic Arenosol","Paraplinthic Arenosol",8
"Paraplinthic Cambisol","Paraplinthic Cambisol",3
"Paraplinthic Lixisol","Paraplinthic Lixisol",9
"Paraplinthic Solonetz","Paraplinthic Solonetz",1
"Paraplintic Gleysol Calcic","Paraplintic Gleysol Calcic",1
"Pelic Vertisol Cromic","Pelic Vertisol Cromic",1
"Pelic Vertisol Mazic","Pelic Vertisol Mazic",12
"Pellic Vertisol","Pellic Vertisol",4
"Pellic,Calcic Vertisol","Pellic,Calcic Vertisol",20
"Pellic,Grumic,Pellic,Grumi Vertisol Hyposodic,Hyposodic","Pellic,Grumic,Pellic,Grumi Vertisol Hyposodic,Hyposodic",1
"Pellic,Haplic,Eutri Vertisol Calcaric,Humic,Mesotrophic","Pellic,Haplic,Eutri Vertisol Calcaric,Humic,Mesotrophic",1
"Pellic,Hyposodic Vertisol","Pellic,Hyposodic Vertisol",1
"Pellic,Mollic,Eutri Vertisol Calcaric,Humic,Pellic","Pellic,Mollic,Eutri Vertisol Calcaric,Humic,Pellic",1
"Pellic,Mollic,Mazi Vertisol Calcaric,Pellic,Eutric","Pellic,Mollic,Mazi Vertisol Calcaric,Pellic,Eutric",1
"Pellic,Sodic Vertisol","Pellic,Sodic Vertisol",2
"Petric Calcisol","Petric Calcisol",10
"Petric Calcisol Episkeletic,Arenic","Petric Calcisol Episkeletic,Arenic",1
"Petric Plinthosol","Petric Plinthosol",2
"Petric Plinthosol Epipetric,Epiferric","Petric Plinthosol Epipetric,Epiferric",2
"Petric,Endopetric,Luvic,Luvi Durisol Ruptic","Petric,Endopetric,Luvic,Luvi Durisol Ruptic",1
"Petric,Epipetric,Aridi Calcisol Aridic,Arenic","Petric,Epipetric,Aridi Calcisol Aridic,Arenic",1
"Petric,Epipetric,Vetic,Acri,Acric Plinthosol Dystric,Vetic","Petric,Epipetric,Vetic,Acri,Acric Plinthosol Dystric,Vetic",1
"Petroduric,Vitric,Endolepti,Endoleptic,Duric Andosol Hypereutric,Hypereutric","Petroduric,Vitric,Endolepti,Endoleptic,Duric Andosol Hypereutric,Hypereutric",1
"Petrosalic,Sodic,Epipetrosali,Puffic Solonchak Sodic,Sulphatic,Takyric,Aridic,Hypersalic","Petrosalic,Sodic,Epipetrosali,Puffic Solonchak Sodic,Sulphatic,Takyric,Aridic,Hypersalic",1
"Phaeozem","Phaeozem",804
"Pisoplinthic Acrisol","Pisoplinthic Acrisol",2
"Pisoplinthic Acrisol Albic,Hyperdystric,Profondic,Arenic","Pisoplinthic Acrisol Albic,Hyperdystric,Profondic,Arenic",1
"Pisoplinthic Alisol","Pisoplinthic Alisol",1
"Pisoplinthic Plinthosol","Pisoplinthic Plinthosol",3
"Pisoplinthic,Acric Plinthosol","Pisoplinthic,Acric Plinthosol",2
"Pisoplinthic,Cutanic,Umbrihumi,Pisoplinthic,Umbric Acrisol Alumic,Humic,Profondic,Profondic,Alumic","Pisoplinthic,Cutanic,Umbrihumi,Pisoplinthic,Umbric Acrisol Alumic,Humic,Profondic,Profondic,Alumic",1
"Pisoplinthic,Pisoplinthic,Acri,Gibbsic,Posic Ferralsol Hyperdystric,Gibbsic,Posic","Pisoplinthic,Pisoplinthic,Acri,Gibbsic,Posic Ferralsol Hyperdystric,Gibbsic,Posic",1
"Pisoplinthic,Pisoplinthic,Acric,Hyperdystri Plinthosol Hyperdystric,Clayic","Pisoplinthic,Pisoplinthic,Acric,Hyperdystri Plinthosol Hyperdystric,Clayic",1
"Pisoplinthic,Pisoplinthic,Profondi Lixisol Profondic,Chromic,Chromic","Pisoplinthic,Pisoplinthic,Profondi Lixisol Profondic,Chromic,Chromic",1
"Pisoplinthic,Profondic,Ferri Acrisol Profondic,Clayic,Hyperdystric,Rhodic,Chromic","Pisoplinthic,Profondic,Ferri Acrisol Profondic,Clayic,Hyperdystric,Rhodic,Chromic",1
"Pisoplinthic,Vetic,Pisoplinthic,Veti Acrisol Hyperdystric,Profondic,Profondic,Clayic,Hyperdystric","Pisoplinthic,Vetic,Pisoplinthic,Veti Acrisol Hyperdystric,Profondic,Profondic,Clayic,Hyperdystric",1
"Pisoplinthic,Xanthic Ferralsol Epidystric,Xanthic","Pisoplinthic,Xanthic Ferralsol Epidystric,Xanthic",1
"Placic Podzol","Placic Podzol",1
"Placic,Entic Podzol","Placic,Entic Podzol",1
"Placic,Umbric Andosol","Placic,Umbric Andosol",1
"Plaggic,Areni Anthrosol","Plaggic,Areni Anthrosol",1
"Plaggic,Regi Anthrosol","Plaggic,Regi Anthrosol",1
"Plaggic,Spodi Anthrosol","Plaggic,Spodi Anthrosol",1
"Planosol","Planosol",361
"Plinthic Acrisol","Plinthic Acrisol",37
"Plinthic Acrisol Dystric","Plinthic Acrisol Dystric",1
"Plinthic Ferralsol","Plinthic Ferralsol",2
"Plinthic Gleysol","Plinthic Gleysol",1
"Plinthic,Gleyic Lixisol","Plinthic,Gleyic Lixisol",1
"Plinthic,Plinthic,Alumi Acrisol Alumic,Chromic","Plinthic,Plinthic,Alumi Acrisol Alumic,Chromic",1
"Plinthosol","Plinthosol",107
"Plintic Acrisol Humic","Plintic Acrisol Humic",1
"Plintic Gleysol Distric","Plintic Gleysol Distric",1
"Plintic Gleysol Molic","Plintic Gleysol Molic",1
"Plintic Luvisol Distric","Plintic Luvisol Distric",1
"Plintic Luvisol Humic","Plintic Luvisol Humic",2
"Podzol","Podzol",336
"Posic,Geric,Posi Ferralsol Alumic,Clayic,Rhodic,Rhodic","Posic,Geric,Posi Ferralsol Alumic,Clayic,Rhodic,Rhodic",1
"Profondic Acrisol","Profondic Acrisol",1
"Profondic Acrisol Cromic","Profondic Acrisol Cromic",1
"Profondic Acrisol Hiperdistric","Profondic Acrisol Hiperdistric",3
"Profondic Alisol","Profondic Alisol",2
"Profondic Lixisol Cutanic","Profondic Lixisol Cutanic",1
"Profondic Lixisol Rodic","Profondic Lixisol Rodic",2
"Profondic Luvisol","Profondic Luvisol",3
"Profondic Luvisol Aridic","Profondic Luvisol Aridic",1
"Profondic Luvisol Cromic","Profondic Luvisol Cromic",1
"Profondic Luvisol Cutanic","Profondic Luvisol Cutanic",6
"Profondic Luvisol Distric","Profondic Luvisol Distric",3
"Profondic Luvisol Hiperdistric","Profondic Luvisol Hiperdistric",4
"Profondic Luvisol Humic","Profondic Luvisol Humic",1
"Profondic Luvisol Rodic","Profondic Luvisol Rodic",1
"Profondic,Arenic Acrisol","Profondic,Arenic Acrisol",1
"Profondic,Arenic Alisol","Profondic,Arenic Alisol",2
"Profondic,Chromi Luvisol Haplic","Profondic,Chromi Luvisol Haplic",1
"Profondic,Chromic Alisol","Profondic,Chromic Alisol",1
"Profondic,Cutanic,Alumi Acrisol Alumic,Profondic,Clayic,Hyperdystric,Chromic","Profondic,Cutanic,Alumi Acrisol Alumic,Profondic,Clayic,Hyperdystric,Chromic",1
"Profondic,Cutanic,Chromi Acrisol Profondic,Clayic,Chromic","Profondic,Cutanic,Chromi Acrisol Profondic,Clayic,Chromic",1
"Profondic,Cutanic,Chromi Lixisol Profondic,Clayic,Chromic","Profondic,Cutanic,Chromi Lixisol Profondic,Clayic,Chromic",1
"Profondic,Cutanic,Cutani Luvisol Alumic,Humic,Profondic,Hyperdystric","Profondic,Cutanic,Cutani Luvisol Alumic,Humic,Profondic,Hyperdystric",1
"Profondic,Cutanic,Cutani Luvisol Hypereutric,Profondic","Profondic,Cutanic,Cutani Luvisol Hypereutric,Profondic",1
"Profondic,Cutanic,Rhodi Luvisol Profondic,Rhodic,Colluvic,Cutanic","Profondic,Cutanic,Rhodi Luvisol Profondic,Rhodic,Colluvic,Cutanic",1
"Profondic,Ferri Acrisol","Profondic,Ferri Acrisol",1
"Profondic,Gleyic Luvisol","Profondic,Gleyic Luvisol",1
"Profondic,Haplic,Alumi Acrisol Alumic,Hyperdystric,Hyperdystric,Profondic,Chromic,Chromic","Profondic,Haplic,Alumi Acrisol Alumic,Hyperdystric,Hyperdystric,Profondic,Chromic,Chromic",1
"Profondic,Haplic,Chromi Acrisol Profondic,Clayic,Chromic","Profondic,Haplic,Chromi Acrisol Profondic,Clayic,Chromic",1
"Profondic,Humic Acrisol","Profondic,Humic Acrisol",2
"Profondic,Humic Alisol","Profondic,Humic Alisol",1
"Profondic,Plinthic Lixisol","Profondic,Plinthic Lixisol",1
"Profondic,Vetic Lixisol Rhodic","Profondic,Vetic Lixisol Rhodic",1
"Protic Arenosol","Protic Arenosol",1
"Protic Arenosol Eutric","Protic Arenosol Eutric",1
"Protic Arenosol Hiposodic","Protic Arenosol Hiposodic",7
"Protic,Aridic,Proti Arenosol Eutric,Aridic,Eutric","Protic,Aridic,Proti Arenosol Eutric,Aridic,Eutric",1
"Protoandic,Umbric,Entic Podzol","Protoandic,Umbric,Entic Podzol",1
"Regic,Terric Anthrosol","Regic,Terric Anthrosol",1
"Regosol","Regosol",1682
"Regosol Calcaric","Regosol Calcaric",1
"Regosol Haplic","Regosol Haplic",3
"Regosol Skeletic","Regosol Skeletic",4
"Rendzic Leptosol","Rendzic Leptosol",13
"Rendzic Leptosol Calcaric","Rendzic Leptosol Calcaric",8
"Rendzic Leptosol Cromic","Rendzic Leptosol Cromic",1
"Rendzic Leptosol Esqueletic","Rendzic Leptosol Esqueletic",3
"Rendzic Leptosol Humic","Rendzic Leptosol Humic",103
"Rendzic Leptosol Sodic","Rendzic Leptosol Sodic",1
"Rendzic Phaeozem Calcaric","Rendzic Phaeozem Calcaric",1
"Retisol","Retisol",6
"Rhodic Acrisol","Rhodic Acrisol",34
"Rhodic Alisol","Rhodic Alisol",2
"Rhodic Cambisol","Rhodic Cambisol",31
"Rhodic Ferralsol","Rhodic Ferralsol",18
"Rhodic Lixisol","Rhodic Lixisol",53
"Rhodic Luvisol","Rhodic Luvisol",9
"Rhodic Nitisol","Rhodic Nitisol",25
"Rhodic,Acric Ferralsol","Rhodic,Acric Ferralsol",13
"Rhodic,Arenic Acrisol","Rhodic,Arenic Acrisol",1
"Rhodic,Arenic Ferralsol","Rhodic,Arenic Ferralsol",1
"Rhodic,Arenic Lixisol","Rhodic,Arenic Lixisol",1
"Rhodic,Arenic Luvisol","Rhodic,Arenic Luvisol",1
"Rhodic,Cutanic Lixisol Hypereutric,Rhodic","Rhodic,Cutanic Lixisol Hypereutric,Rhodic",2
"Rhodic,Cutanic,Cutani Alisol Alumic,Humic,Hyperdystric,Clayic","Rhodic,Cutanic,Cutani Alisol Alumic,Humic,Hyperdystric,Clayic",1
"Rhodic,Endoskeletic Lixisol","Rhodic,Endoskeletic Lixisol",1
"Rhodic,Ferralic Cambisol","Rhodic,Ferralic Cambisol",5
"Rhodic,Ferric Acrisol","Rhodic,Ferric Acrisol",1
"Rhodic,Ferric Lixisol","Rhodic,Ferric Lixisol",3
"Rhodic,Hapli Luvisol","Rhodic,Hapli Luvisol",1
"Rhodic,Haplic Acrisol Epieutric,Rhodic","Rhodic,Haplic Acrisol Epieutric,Rhodic",1
"Rhodic,Humic Alisol","Rhodic,Humic Alisol",1
"Rhodic,Humic Nitisol","Rhodic,Humic Nitisol",3
"Rhodic,Hyperdystric Ferralsol","Rhodic,Hyperdystric Ferralsol",2
"Rhodic,Lixic Ferralsol","Rhodic,Lixic Ferralsol",2
"Rhodic,Nitic Alisol","Rhodic,Nitic Alisol",1
"Rhodic,Paraleptic Lixisol","Rhodic,Paraleptic Lixisol",1
"Rhodic,Profondic Acrisol","Rhodic,Profondic Acrisol",3
"Rhodic,Profondic Lixisol","Rhodic,Profondic Lixisol",4
"Rhodic,Umbric Ferralsol","Rhodic,Umbric Ferralsol",1
"Rodic Cambisol Ortidistric","Rodic Cambisol Ortidistric",1
"Rodic Luvisol Plintic","Rodic Luvisol Plintic",1
"Rodic Nitisol Eutric","Rodic Nitisol Eutric",1
"Rubic Arenosol","Rubic Arenosol",25
"Rubic Arenosol Protic","Rubic Arenosol Protic",1
"Rubic,Aridic,Ferralic,Ferrali Arenosol Eutric,Aridic,Rubic,Eutric","Rubic,Aridic,Ferralic,Ferrali Arenosol Eutric,Aridic,Rubic,Eutric",1
"Rubic,Ferralic Arenosol","Rubic,Ferralic Arenosol",8
"Rubic,Hypoluvic Arenosol","Rubic,Hypoluvic Arenosol",5
"Salic Arenosol Hipersodic","Salic Arenosol Hipersodic",1
"Salic Calcisol Takiric","Salic Calcisol Takiric",1
"Salic Fluvisol","Salic Fluvisol",1
"Salic Luvisol Aridic","Salic Luvisol Aridic",2
"Salic Planosol Molic","Salic Planosol Molic",1
"Salic Regosol Sodic","Salic Regosol Sodic",1
"Salic Solonetz","Salic Solonetz",2
"Salic Solonetz Vertic","Salic Solonetz Vertic",1
"Salic Vertisol Endosodic","Salic Vertisol Endosodic",1
"Salic Vertisol Hipersodic","Salic Vertisol Hipersodic",1
"Salic Vertisol Hiposodic","Salic Vertisol Hiposodic",1
"Salic Vertisol Natric","Salic Vertisol Natric",1
"Salic Vertisol Sodic","Salic Vertisol Sodic",5
"Salic,Gleyi Solonetz","Salic,Gleyi Solonetz",1
"Salic,Gleyic Solonetz","Salic,Gleyic Solonetz",1
"Salic,Gleyic Solonetz Calcaric","Salic,Gleyic Solonetz Calcaric",1
"Salic,Mollic Solonetz Abruptic,Clayic","Salic,Mollic Solonetz Abruptic,Clayic",1
"Salic,Stagnic Solonetz Abruptic","Salic,Stagnic Solonetz Abruptic",1
"Salic,Vertic Cambisol","Salic,Vertic Cambisol",1
"Sapric Histosol","Sapric Histosol",1
"Saprihistic,Dystri Gleysol","Saprihistic,Dystri Gleysol",1
"Saprihistic,Hyperdystri Gleysol","Saprihistic,Hyperdystri Gleysol",1
"Silandic Andosol Dystric,Thixotropic","Silandic Andosol Dystric,Thixotropic",1
"Silandic Andosol Eutric,Siltic","Silandic Andosol Eutric,Siltic",1
"Silandic,Folic Andosol Acroxic,Hyperdystric","Silandic,Folic Andosol Acroxic,Hyperdystric",1
"Silandic,Hydric,Umbric Andosol Hyperdystric,Thixotropic,Siltic","Silandic,Hydric,Umbric Andosol Hyperdystric,Thixotropic,Siltic",1
"Silandic,Silic,Hydric,Hydri,Umbric Andosol Hyperdystric,Umbrihumic,Hyperdystric","Silandic,Silic,Hydric,Hydri,Umbric Andosol Hyperdystric,Umbrihumic,Hyperdystric",1
"Silandic,Silic,Umbric,Umbrihumi Andosol Hyperdystric,Thixotropic,Hyperdystric","Silandic,Silic,Umbric,Umbrihumi Andosol Hyperdystric,Thixotropic,Hyperdystric",1
"Silandic,Umbric Andosol","Silandic,Umbric Andosol",1
"Silandic,Umbric Andosol Acroxic,Hyperdystric","Silandic,Umbric Andosol Acroxic,Hyperdystric",1
"Silandic,Umbric Andosol Dystric,Thixotropic,Siltic","Silandic,Umbric Andosol Dystric,Thixotropic,Siltic",1
"Silandic,Umbric Andosol Endodystric,Thixotropic,Siltic","Silandic,Umbric Andosol Endodystric,Thixotropic,Siltic",1
"Silandic,Umbric Andosol Hyperdystric","Silandic,Umbric Andosol Hyperdystric",1
"Silandic,Umbric Andosol Thixotropic","Silandic,Umbric Andosol Thixotropic",1
"Silic,Fulvi Andosol","Silic,Fulvi Andosol",1
"Silic,Silandic,Histic,Histi,Mollic Andosol Eutric,Turbic,Mollic,Drainic,Eutric","Silic,Silandic,Histic,Histi,Mollic Andosol Eutric,Turbic,Mollic,Drainic,Eutric",1
"Silic,Silandic,Hyperdystri Andosol Hyperdystric,Siltic,Novic","Silic,Silandic,Hyperdystri Andosol Hyperdystric,Siltic,Novic",1
"Silic,Silandic,Umbric,Pachi Andosol Hyperdystric,Umbric,Hyperdystric","Silic,Silandic,Umbric,Pachi Andosol Hyperdystric,Umbric,Hyperdystric",1
"Silic,Silandic,Umbrihumi,Umbric Andosol Hyperdystric,Hyperdystric","Silic,Silandic,Umbrihumi,Umbric Andosol Hyperdystric,Hyperdystric",1
"Silic,Umbri Andosol","Silic,Umbri Andosol",1
"Siltic Phaeozem","Siltic Phaeozem",7
"Siltic Phaeozem Hiposodic","Siltic Phaeozem Hiposodic",1
"Siltic Phaeozem Rodic","Siltic Phaeozem Rodic",1
"Siltic,Calcaric Phaeozem","Siltic,Calcaric Phaeozem",1
"Siltic,Calcic Chernozem","Siltic,Calcic Chernozem",1
"Siltic,Cutani Luvisol","Siltic,Cutani Luvisol",3
"Siltic,Luvic Phaeozem","Siltic,Luvic Phaeozem",1
"Siltic,Vermi Chernozem","Siltic,Vermi Chernozem",1
"Siltic,Vermi Phaeozem","Siltic,Vermi Phaeozem",1
"Skeletic Cambisol","Skeletic Cambisol",1
"Skeletic Leptosol","Skeletic Leptosol",1
"Skeletic Phaeozem","Skeletic Phaeozem",2
"Skeletic,Albic Podzol","Skeletic,Albic Podzol",1
"Skeletic,Arenic Regosol","Skeletic,Arenic Regosol",1
"Skeletic,Entic Podzol","Skeletic,Entic Podzol",1
"Skeletic,Epileptic Regosol","Skeletic,Epileptic Regosol",1
"Skeletic,Ferralic Cambisol","Skeletic,Ferralic Cambisol",1
"Skeletic,Folic,Dystri Cambisol Alumic,Humic,Dystric,Skeletic","Skeletic,Folic,Dystri Cambisol Alumic,Humic,Dystric,Skeletic",1
"Skeletic,Leptic Regosol","Skeletic,Leptic Regosol",1
"Skeletic,Leptic Umbrisol","Skeletic,Leptic Umbrisol",1
"Skeletic,Leptic Umbrisol Arenic","Skeletic,Leptic Umbrisol Arenic",1
"Skeletic,Paraleptic Phaeozem","Skeletic,Paraleptic Phaeozem",1
"Skeletic,Petric Calcisol","Skeletic,Petric Calcisol",1
"Sodic Arenosol","Sodic Arenosol",2
"Sodic Arenosol Aridic","Sodic Arenosol Aridic",6
"Sodic Arenosol Calcaric","Sodic Arenosol Calcaric",11
"Sodic Arenosol Hipogleyic","Sodic Arenosol Hipogleyic",1
"Sodic Calcisol","Sodic Calcisol",1
"Sodic Calcisol Alcalic","Sodic Calcisol Alcalic",1
"Sodic Calcisol Aridic","Sodic Calcisol Aridic",5
"Sodic Calcisol Endosalic","Sodic Calcisol Endosalic",1
"Sodic Calcisol Hiposalic","Sodic Calcisol Hiposalic",7
"Sodic Calcisol Humic","Sodic Calcisol Humic",1
"Sodic Calcisol Luvic","Sodic Calcisol Luvic",11
"Sodic Calcisol Vertic","Sodic Calcisol Vertic",2
"Sodic Cambisol Arenic","Sodic Cambisol Arenic",1
"Sodic Cambisol Aridic","Sodic Cambisol Aridic",2
"Sodic Cambisol Calcaric","Sodic Cambisol Calcaric",11
"Sodic Cambisol Hiposalic","Sodic Cambisol Hiposalic",3
"Sodic Cambisol Humic","Sodic Cambisol Humic",3
"Sodic Cambisol Takiric","Sodic Cambisol Takiric",1
"Sodic Cambisol Vertic","Sodic Cambisol Vertic",1
"Sodic Chernozem Gleyic","Sodic Chernozem Gleyic",1
"Sodic Chernozem Hipogleyic","Sodic Chernozem Hipogleyic",1
"Sodic Chernozem Orticalcic","Sodic Chernozem Orticalcic",1
"Sodic Chernozem Vertic","Sodic Chernozem Vertic",4
"Sodic Fluvisol","Sodic Fluvisol",1
"Sodic Fluvisol Arenic","Sodic Fluvisol Arenic",1
"Sodic Fluvisol Calcaric","Sodic Fluvisol Calcaric",1
"Sodic Gleysol","Sodic Gleysol",1
"Sodic Gleysol Arenic","Sodic Gleysol Arenic",1
"Sodic Gleysol Calcic","Sodic Gleysol Calcic",1
